SalesPrice,Cost
2571.77,2030
800,434
1800,1351.3
11500,11071.91
5400,2971.16
3104,1665.09
4976.1,2681.67
900,475.33
4680,2397.12
2250,851
8500,3937.51
3200,1552.67
3800,2730.17
8500,5250
850,385
11500,5835.6
6700,2439.85
2000,1155.94
12000,8800
2600,1585
50100,35768
6500,4842.07
4108,1067.77
300,172.81
4500,1973.97
1130,762.71
8000,3700
65,58.5
26000,7267.13
23480,14915.9
2200,1310
3400,2287.88
2900,1500
4400,2782.67
3306.54,1300
2860,1402.02
3500,2435.95
140,120
35000,21878.71
3500,2228
17000,8066.92
3180,1723.73
2500,1214
3500,2044.8
1100,785.33
250,165.33
450,310
450,310
900,554.82
900,200
180,103.33
7200,4000
4000,1900
50,5
3800,1811.45
1900,400
4500,2202.54
11500,8000
5800,1200
12500,6950
6090,2872.51
5580,2850.63
3920,2027.39
2350,1590
66445.18,150500
1800,1364
7500,1900
2700,1860
6250,3081.32
17500,10555
25800,10805
2310,1080.05
24000,13844
3920,2218
2000,944.32
3660,1469.91
3000,3201
2210,1178
3000,1070
4500,1696.7
3060,1247.43
3000,2090.03
10500,7000
5230,2446.64
4000,1788.03
39500,29750
3000,1310
2000,780
3500,5250
1640,770.29
1690,990
1500,900
15000,6655
1800,707.1
1620,862.25
4000,1552.67
8000,3881.67
2500,1138.62
13000,6000
24000,10868.68
14000,6000
15000,4500
4100,2018.47
11000,5693.12
8500,3622.89
12250,5951.9
3500,2592
2400,1733
675,284.66
675,284.66
675,284.66
4600,3246.55
1300,900
2650,1912.05
1200,577.89
1200,593.45
900,625
650,336.41
1250,569.31
9800,5775.06
5700,4737.62
1000,410
2300,1100
5000,2610
1700,800
1100,630
4100,2250
1000,500
595,315.6
3250,1710
750,340
3600,1800
4900,3000
2600,1290
7500,3847.5
6500,2200
8100,3979.82
6000,4500.34
8100,3185.18
5850,3133.71
11850,5582.5
4500,2123.11
6825,3180.32
1500,950
13000,6210.68
3500,1552.67
29000,16160.76
6200,3300
4600,1786.19
610,310
610,310
2500,1641.65
495,217.94
495,217.94
395,169.52
795,470
12000,9000
1400,770
2650,700
2490,1600
850,400
2950,2000
2300,1480.51
600,460
1300,241.33
8600,4400
3200,1828.59
14000,11340
19000,9000
3200,1755.31
6500,2934.64
14000,8500
1950,990
2750,2800
25000,15655
200,44
45000,40000
6577.09,40382.8502
3900,1400
25,5
180,130.04
220,50
3700,1966.71
4500,3500
7000,5250
7000,5250
2100,1035.11
7800,5000
12000,8800
28000,36100
4500,1400
2000,853.97
5000,3525
1600,1095
12000,5381
3300,2954.097
1500,560
850,250
8000,5600
11850,11071.91
92000,70000
11500,5693.12
23500,11386.24
8500,3937.51
3200,1552.67
3800,2730.17
5000,2000
3281.25,3949.9904
4744.98,10356.9304
750,276.06
1500,863.38
3000,1550
4333.33,4370.01
4409.9,4479.8651
4900,2730.73
7800,4303.12
5250,3477.11
4000,2022.71
5250,2846.25
6500,4842.07
9500,4844.73
4800,2403.82
7350,3874.96
2000,1005.73
100000,58001.86
600,434
6000,4516.25
2000,1323
2000,2165
110000,78440
6500,2812.5
30000,21614.34
205000,196704
9000,7120
9000,6981.91
50100,35768
4500,3500
6700,3493.51
1300,997.51
15049.75,19746.5814
6500,4080
6500,2465.78
5500,3420
21000,13000
300,185
2200,1000
7500,3910
8679.82,9461.0038
7559.82,8089.0074
846.43,719.16
324.89,245.96
1025.97,694.61
170.99,154.94
512.98,313.78
256.49,125.4
256.49,129.4
256.49,143.39
854.97,573.63
769.48,808.32
769.48,394.15
769.48,380.15
769.48,808.32
769.48,432.16
769.48,696.34
769.48,752.36
769.48,376.18
